FOD1P,field_name,cip_2digit,median_annual_earnings,p25_earnings,p75_earnings,sample_size,source,year
6200,Business Management,52,85000,60000,120000,large,ACS+CEW,2023
6201,Accounting,52,78000,58000,105000,large,ACS+CEW,2023
6202,Finance,52,95000,65000,140000,large,ACS+CEW,2023
6203,Marketing,52,75000,52000,105000,medium,ACS+CEW,2023
6204,Human Resources,52,72000,52000,95000,medium,ACS+CEW,2023
6206,General Business,52,80000,55000,110000,large,ACS+CEW,2023
6207,MIS/Management Info Systems,52,92000,65000,125000,medium,ACS+CEW,2023
6209,Supply Chain Management,52,88000,62000,115000,medium,ACS+CEW,2023
6210,International Business,52,78000,55000,110000,small,ACS+CEW,2023
6211,Hospitality Management,52,65000,45000,90000,small,ACS+CEW,2023
6212,Operations and Logistics,52,88000,62000,115000,medium,ACS+CEW,2023
6205,Actuarial Science,52,110000,85000,145000,small,ACS+CEW,2023
1100,Computer Science,11,115000,85000,150000,large,ACS+CEW,2023
1103,Information Technology,11,95000,70000,125000,medium,ACS+CEW,2023
1104,Computer Programming,11,105000,75000,140000,medium,ACS+CEW,2023
1105,Information Sciences,11,90000,65000,120000,medium,ACS+CEW,2023
1106,Computer Administration/Management,11,88000,65000,118000,small,ACS+CEW,2023
4009,Data Science,11,110000,82000,145000,medium,ACS+CEW,2023
2400,Engineering General,14,105000,80000,135000,large,ACS+CEW,2023
2401,Aerospace Engineering,14,115000,90000,145000,medium,ACS+CEW,2023
2402,Biological Engineering,14,85000,65000,115000,small,ACS+CEW,2023
2403,Architectural Engineering,14,88000,68000,115000,small,ACS+CEW,2023
2404,Biomedical Engineering,14,90000,68000,120000,small,ACS+CEW,2023
2405,Chemical Engineering,14,110000,85000,140000,medium,ACS+CEW,2023
2406,Civil Engineering,14,90000,72000,115000,medium,ACS+CEW,2023
2407,Computer Engineering,14,115000,88000,148000,medium,ACS+CEW,2023
2408,Electrical Engineering,14,110000,85000,140000,large,ACS+CEW,2023
2409,Mechanical Engineering,14,100000,78000,130000,large,ACS+CEW,2023
2410,Industrial Engineering,14,95000,75000,125000,medium,ACS+CEW,2023
2411,Materials Engineering,14,100000,78000,128000,small,ACS+CEW,2023
2412,Environmental Engineering,14,85000,68000,110000,small,ACS+CEW,2023
2414,Metallurgical Engineering,14,100000,78000,128000,small,ACS+CEW,2023
2415,Mining Engineering,14,105000,82000,135000,small,ACS+CEW,2023
2416,Nuclear Engineering,14,115000,92000,145000,small,ACS+CEW,2023
3600,Biology,26,65000,45000,90000,medium,ACS+CEW,2023
3601,Biochemistry,26,72000,50000,100000,medium,ACS+CEW,2023
3602,Molecular Biology,26,70000,48000,95000,small,ACS+CEW,2023
3603,Botany,26,58000,42000,80000,small,ACS+CEW,2023
3604,Cell Biology,26,68000,48000,92000,small,ACS+CEW,2023
